Kingdom	Turns	Player Won	Opponent VP	Player VP	Runtime
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	31	0	51	23	0.048972
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	14	0.036455
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	17	0.037192
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	11	0.036151
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	32	0	51	14	0.048797
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	11	0.036292
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	17	0.041043
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	20	0.037234
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	25	0	51	14	0.039038
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	20	0.039795
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	30	0	51	14	0.045402
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	17	0.038114
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	25	0	51	17	0.033492
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	30	0	51	20	0.040714
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	15	0.040945
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	7	0.043517
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	12	0.047598
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	31	0	51	7	0.060336
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	10	0.046432
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	25	0	51	8	0.038265
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	15	0.047835
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	12	0.046927
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	9	0.049630
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	9	0.050216
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	30	0	51	9	0.044253
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	8	0.047386
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	8	0.042534
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	9	0.044946
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	30	0	51	16	0.046312
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	5	0.043691
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	6	0.051014
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	30	0	51	15	0.048351
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	5	0.048326
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	30	0	51	11	0.049719
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	8	0.039586
